Date,Transaction Description,Category,Amount,Type,Payment Method
2020-01-02,Restaurant meal payment - January 2020,Food & Drink,194.73,Expense,Debit Card
2020-01-02,Internet utility payment - January 2020,Utilities,245.83,Expense,Bank Transfer
2020-01-04,Residential rent payment - January 2020,Rent,1093.69,Expense,Bank Transfer
2020-01-05,Investment dividend income - January 2020,Investment,1404.25,Income,Debit Card
2020-01-13,Cafe and coffee purchase - January 2020,Food & Drink,289.55,Expense,Debit Card
2020-01-14,Personal shopping expense - January 2020,Shopping,424.48,Expense,Credit Card
2020-01-18,Restaurant meal payment - January 2020,Food & Drink,336.96,Expense,Debit Card
2020-01-19,Family allowance transfer - January 2020,Allowance,1171.17,Income,Debit Card
2020-01-21,Netflix or Spotify payment - January 2020,Entertainment,427.29,Expense,E-Wallet
2020-01-25,Apartment rent payment - January 2020,Rent,1218.92,Expense,Bank Transfer
2020-01-25,Hospital or pharmacy expense - January 2020,Healthcare,582.92,Expense,Debit Card
2020-01-26,Salary income received - January 2020,Salary,3937.09,Income,Debit Card
2020-01-29,Bus and taxi fare - January 2020,Transportation,299.19,Expense,Cash
2020-01-30,Hospital or pharmacy expense - January 2020,Healthcare,680.70,Expense,Debit Card
2020-01-31,Lunch and dining expense - January 2020,Food & Drink,550.93,Expense,Debit Card
2020-01-31,Apartment rent payment - January 2020,Rent,1327.48,Expense,Bank Transfer
2020-01-31,Retail shopping purchase - January 2020,Shopping,776.39,Expense,Credit Card
2020-02-02,Daily transportation expense - February 2020,Transportation,387.00,Expense,Cash
2020-02-04,Hotel and flight booking - February 2020,Travel,1523.27,Expense,Credit Card
2020-02-05,Monthly housing rent - February 2020,Rent,1394.14,Expense,Bank Transfer
2020-02-05,Investment return received - February 2020,Investment,2172.07,Income,Bank Transfer
2020-02-07,Hotel and flight booking - February 2020,Travel,1679.43,Expense,Credit Card
2020-02-07,Game and entertainment purchase - February 2020,Entertainment,866.97,Expense,E-Wallet
2020-02-08,Lunch and dining expense - February 2020,Food & Drink,776.44,Expense,Debit Card
2020-02-08,Freelance project payment - February 2020,Freelance,2559.66,Income,Bank Transfer
2020-02-09,Game and entertainment purchase - February 2020,Entertainment,163.95,Expense,E-Wallet
2020-02-11,Daily transportation expense - February 2020,Transportation,108.08,Expense,Cash
2020-02-13,Monthly salary deposit - February 2020,Salary,3659.31,Income,Debit Card
2020-02-15,Family allowance transfer - February 2020,Allowance,1021.62,Income,Bank Transfer
2020-02-16,Personal shopping expense - February 2020,Shopping,396.02,Expense,Credit Card
2020-02-16,Electricity and water bill - February 2020,Utilities,309.96,Expense,Bank Transfer
2020-02-18,Portfolio interest income - February 2020,Investment,1533.18,Income,Debit Card
2020-02-19,Salary income received - February 2020,Salary,3812.46,Income,Bank Transfer
2020-02-20,Clothing and household shopping - February 2020,Shopping,513.05,Expense,Credit Card
2020-02-26,Travel booking payment - February 2020,Travel,1078.83,Expense,Credit Card
2020-02-27,Lunch and dining expense - February 2020,Food & Drink,444.58,Expense,Debit Card
2020-02-28,Freelance project payment - February 2020,Freelance,1885.59,Income,Bank Transfer
2020-02-28,Family allowance transfer - February 2020,Allowance,1338.74,Income,Bank Transfer
2020-02-29,Trip and accommodation expense - February 2020,Travel,1279.43,Expense,Credit Card
2020-03-03,Apartment rent payment - March 2020,Rent,1302.70,Expense,Bank Transfer
2020-03-04,Game and entertainment purchase - March 2020,Entertainment,632.89,Expense,E-Wallet
2020-03-04,Lunch and dining expense - March 2020,Food & Drink,586.81,Expense,Debit Card
2020-03-09,Apartment rent payment - March 2020,Rent,1361.26,Expense,Bank Transfer
2020-03-09,Travel booking payment - March 2020,Travel,2724.47,Expense,Credit Card
2020-03-11,Residential rent payment - March 2020,Rent,1394.59,Expense,Bank Transfer
2020-03-11,Apartment rent payment - March 2020,Rent,1411.26,Expense,Bank Transfer
2020-03-12,Internet utility payment - March 2020,Utilities,581.13,Expense,Bank Transfer
2020-03-12,Monthly utilities bill - March 2020,Utilities,597.06,Expense,Bank Transfer
2020-03-14,Bus and taxi fare - March 2020,Transportation,482.98,Expense,Cash
2020-03-15,Game and entertainment purchase - March 2020,Entertainment,926.28,Expense,E-Wallet
2020-03-18,Daily transportation expense - March 2020,Transportation,92.58,Expense,Cash
2020-03-21,Apartment rent payment - March 2020,Rent,1069.37,Expense,Bank Transfer
2020-03-23,Portfolio interest income - March 2020,Investment,1342.09,Income,Bank Transfer
2020-03-23,Lunch and dining expense - March 2020,Food & Drink,254.95,Expense,Debit Card
2020-03-24,Movie and streaming subscription - March 2020,Entertainment,281.78,Expense,E-Wallet
2020-03-28,Family allowance transfer - March 2020,Allowance,1072.07,Income,Debit Card
2020-04-01,Trip and accommodation expense - April 2020,Travel,946.70,Expense,Credit Card
2020-04-05,Electricity and water bill - April 2020,Utilities,342.24,Expense,Bank Transfer
2020-04-06,Payroll wage received - April 2020,Salary,3840.99,Income,E-Wallet
2020-04-06,Personal shopping expense - April 2020,Shopping,543.10,Expense,Credit Card
2020-04-10,Freelance project payment - April 2020,Freelance,1814.01,Income,Bank Transfer
2020-04-17,Payroll wage received - April 2020,Salary,3924.32,Income,Bank Transfer
2020-04-17,Investment return received - April 2020,Investment,1789.89,Income,E-Wallet
2020-04-18,Supermarket grocery purchase - April 2020,Groceries,666.85,Expense,Debit Card
2020-04-22,Portfolio interest income - April 2020,Investment,1896.95,Income,Bank Transfer
2020-04-23,Monthly utilities bill - April 2020,Utilities,477.83,Expense,Bank Transfer
2020-04-25,Movie and streaming subscription - April 2020,Entertainment,662.94,Expense,E-Wallet
2020-04-26,Portfolio interest income - April 2020,Investment,2024.72,Income,Debit Card
2020-04-26,Lunch and dining expense - April 2020,Food & Drink,634.85,Expense,Debit Card
2020-04-27,Movie and streaming subscription - April 2020,Entertainment,750.72,Expense,E-Wallet
2020-04-27,Game and entertainment purchase - April 2020,Entertainment,795.01,Expense,E-Wallet
2020-04-29,Monthly utilities bill - April 2020,Utilities,581.56,Expense,Bank Transfer
2020-04-30,Hotel and flight booking - April 2020,Travel,1703.45,Expense,Credit Card
2020-05-01,Travel booking payment - May 2020,Travel,1747.90,Expense,Credit Card
2020-05-03,Salary income received - May 2020,Salary,4313.96,Income,E-Wallet
2020-05-03,Restaurant meal payment - May 2020,Food & Drink,812.95,Expense,Debit Card
2020-05-05,Hospital or pharmacy expense - May 2020,Healthcare,242.02,Expense,Debit Card
2020-05-06,Monthly utilities bill - May 2020,Utilities,254.86,Expense,Bank Transfer
2020-05-06,Electricity and water bill - May 2020,Utilities,270.79,Expense,Bank Transfer
2020-05-07,Portfolio interest income - May 2020,Investment,1428.43,Income,Debit Card
2020-05-11,Investment return received - May 2020,Investment,1471.02,Income,Bank Transfer
2020-05-12,Clothing and household shopping - May 2020,Shopping,441.09,Expense,Credit Card
2020-05-13,Hospital or pharmacy expense - May 2020,Healthcare,454.31,Expense,Debit Card
2020-05-14,Daily transportation expense - May 2020,Transportation,220.42,Expense,Cash
2020-05-15,Hotel and flight booking - May 2020,Travel,1081.23,Expense,Credit Card
2020-05-16,Monthly housing rent - May 2020,Rent,1228.38,Expense,Bank Transfer
2020-05-17,Residential rent payment - May 2020,Rent,1245.05,Expense,Bank Transfer
2020-05-19,Hotel and flight booking - May 2020,Travel,1214.56,Expense,Credit Card
2020-05-20,Monthly housing rent - May 2020,Rent,"$1,278.38",Expense,Bank Transfer
2020-05-21,Monthly utilities bill - May 2020,Utilities,454.15,Expense,Bank Transfer
2020-05-25,Hotel and flight booking - May 2020,Travel,1347.90,Expense,Credit Card
2020-05-27,Cafe and coffee purchase - May 2020,Food & Drink,588.09,Expense,Debit Card
2020-05-28,Residential rent payment - May 2020,Rent,1353.60,Expense,Bank Transfer
2020-05-29,Investment dividend income - May 2020,Investment,2068.47,Income,Bank Transfer
2020-05-30,Internet utility payment - May 2020,Utilities,541.96,Expense,Bank Transfer
2020-05-31,Daily transportation expense - May 2020,Transportation,427.89,Expense,Cash
2020-05-31,Hotel and flight booking - May 2020,Travel,1637.39,Expense,Credit Card
2020-06-01,Cafe and coffee purchase - June 2020,Food & Drink,730.31,Expense,Debit Card
2020-06-02,Trip and accommodation expense - June 2020,Travel,2099.10,Expense,Credit Card
2020-06-05,Electricity and water bill - June 2020,Utilities,629.77,Expense,Bank Transfer
2020-06-06,Payroll wage received - June 2020,Salary,4342.49,Income,Bank Transfer
2020-06-07,Lunch and dining expense - June 2020,Food & Drink,196.66,Expense,Debit Card
2020-06-08,Electricity and water bill - June 2020,Utilities,247.12,Expense,Bank Transfer
2020-06-09,Internet utility payment - June 2020,Utilities,263.04,Expense,Bank Transfer
2020-06-09,Refund income received - June 2020,Other Income,1150.85,Income,Bank Transfer
2020-06-10,Movie and streaming subscription - June 2020,Entertainment,312.62,Expense,E-Wallet
2020-06-10,Hospital or pharmacy expense - June 2020,Healthcare,422.60,Expense,Debit Card
2020-06-11,Personal shopping expense - June 2020,Shopping,471.14,Expense,Credit Card
2020-06-11,Movie and streaming subscription - June 2020,Entertainment,400.40,Expense,E-Wallet
2020-06-12,Internet utility payment - June 2020,Utilities,366.78,Expense,Bank Transfer
2020-06-14,Refund income received - June 2020,Other Income,1416.22,Income,E-Wallet
2020-06-15,Movie and streaming subscription - June 2020,Entertainment,488.18,Expense,E-Wallet
2020-06-18,Monthly housing rent - June 2020,Rent,1262.16,Expense,Bank Transfer
2020-06-18,Refund income received - June 2020,Other Income,1559.36,Income,Bank Transfer
2020-06-18,Freelance project payment - June 2020,Freelance,2009.21,Income,E-Wallet
2020-06-19,Game and entertainment purchase - June 2020,Entertainment,620.24,Expense,E-Wallet
2020-06-19,Personal shopping expense - June 2020,Shopping,749.50,Expense,Credit Card
2020-06-21,Hotel and flight booking - June 2020,Travel,1787.99,Expense,Credit Card
2020-06-21,Hospital or pharmacy expense - June 2020,Healthcare,830.45,Expense,Debit Card
2020-06-22,Refund income received - June 2020,Other Income,1824.72,Income,Debit Card
2020-06-22,Restaurant meal payment - June 2020,Food & Drink,683.54,Expense,Debit Card
2020-06-24,Hospital or pharmacy expense - June 2020,Healthcare,944.96,Expense,Debit Card
2020-06-30,Residential rent payment - June 2020,Rent,1437.39,Expense,Bank Transfer
2020-06-30,Hotel and flight booking - June 2020,Travel,2077.48,Expense,Credit Card
2020-07-02,Game and entertainment purchase - July 2020,Entertainment,898.60,Expense,E-Wallet
2020-07-03,Refund income received - July 2020,Other Income,2069.17,Income,Bank Transfer
2020-07-04,Apartment rent payment - July 2020,Rent,1062.16,Expense,Bank Transfer
2020-07-05,Travel booking payment - July 2020,Travel,1076.88,Expense,Credit Card
2020-07-06,Trip and accommodation expense - July 2020,Travel,1121.32,Expense,Credit Card
2020-07-06,Freelance project payment - July 2020,Freelance,1479.58,Income,Bank Transfer
2020-07-08,Travel booking payment - July 2020,Travel,1210.21,Expense,Credit Card
2020-07-11,Trip and accommodation expense - July 2020,Travel,1254.65,Expense,Credit Card
2020-07-12,Supermarket grocery purchase - July 2020,Groceries,484.50,Expense,Debit Card
2020-07-12,Game and entertainment purchase - July 2020,Entertainment,401.19,Expense,E-Wallet
2020-07-13,Monthly utilities bill - July 2020,Utilities,367.21,Expense,Bank Transfer
2020-07-17,Supermarket grocery purchase - July 2020,Groceries,570.39,Expense,Debit Card
2020-07-20,Game and entertainment purchase - July 2020,Entertainment,488.97,Expense,E-Wallet
2020-07-21,Netflix or Spotify payment - July 2020,Entertainment,518.23,Expense,
2020-07-21,Freelance project payment - July 2020,Freelance,1937.64,Income,E-Wallet
